,Title,Artist,Date,track_id,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature,explicit,billboard_hot_100,Popularity,Release_Year
15,Christmas (Baby Please Come Home), Darlene Love,01-01-2022,46pF1zFimM582ss1PrMy68,0.325,0.759,8,-7.146,1,0.053,0.395,0.000362,0.0773,0.36,126.627,166453,4,FALSE,1,82,1963
16,It's Beginning To Look A Lot Like Christmas, Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,01-01-2022,2pXpURmn6zC5ZYDMms6fwa,0.724,0.276,7,-12.25,1,0.0599,0.76,0,0.116,0.718,112.874,155933,4,FALSE,1,87,1999
17,Santa Tell Me, Ariana Grande,01-01-2022,0lizgQ7Qw35od7CYaoMBZb,0.525,0.621,7,-7.364,1,0.116,0.0489,0,0.294,0.591,191.9,204093,4,FALSE,1,93,2014
18,Rudolph The Red-Nosed Reindeer, Gene Autry,01-01-2022,25leEEaz1gIpp7o21Fqyjo,0.834,0.371,1,-11.99,1,0.0358,0.799,0,0.275,0.976,96.628,150267,4,FALSE,1,81,1947
19,Happy Holiday / The Holiday Season, Andy Williams,01-01-2022,3sDdyBHQ60Cs1opmIyRvhp,0.505,0.451,9,-10.193,0,0.0329,0.727,0,0.233,0.744,74.347,156867,4,FALSE,1,81,1963
20,White Christmas, Bing Crosby,01-01-2022,4so0Wek9Ig1p6CRCHuINwW,0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,177480,3,FALSE,1,86,1942
21,Industry Baby, Lil Nas X & Jack Harlow,01-01-2022,27NovPIUIRrOZoCHxABJwK,0.736,0.704,3,-7.409,0,0.0615,0.0203,0,0.0501,0.894,149.995,212000,4,TRUE,1,96,2021
22,Shivers, Ed Sheeran,01-01-2022,50nfwKoDiSYg8zOCREWAm5,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,207853,4,FALSE,1,95,2021
23,Need To Know, Doja Cat,01-01-2022,3Vi5XqYrmQgOYBajMWSvCi,0.664,0.609,1,-6.509,1,0.0707,0.304,0,0.0926,0.194,130.041,210560,4,TRUE,1,93,2021
24,Run Rudolph Run, Chuck Berry,01-01-2022,2pnPe4pJtq7689i5ydzvJJ,0.681,0.715,7,-10.609,0,0.0912,0.812,9.43E-06,0.0777,0.957,152.132,165733,4,FALSE,1,86,1986
25,Super Gremlin, Kodak Black,01-01-2022,4A8cWXxKfIL3lAyUDzXbCF,0.825,0.414,2,-6.634,1,0.144,0.00265,0,0.357,0.106,72.993,200548,4,TRUE,1,89,2021
26,abcdefu, GAYLE,01-01-2022,4fouWK6XVHhzl78KzQ1UjL,0.695,0.54,4,-5.692,1,0.0493,0.299,0,0.367,0.415,121.932,168602,4,TRUE,1,100,2021
27,(There's No Place Like) Home For The Holidays, Perry Como,01-01-2022,2GapxG7BxK55ihQRAlR39e,0.532,0.401,5,-10.629,1,0.0525,0.869,0,0.222,0.45,143.823,178293,4,FALSE,1,77,2001
28,Cold Heart (PNAU Remix), Elton John & Dua Lipa,01-01-2022,6zSpb8dQRaw0M1dK8PBwQz,0.796,0.798,1,-6.312,1,0.0317,0.034,4.19E-05,0.0952,0.942,116.032,202735,4,FALSE,1,97,2021
29,It's Beginning To Look A Lot Like Christmas, Michael Buble,01-01-2022,5a1iz510sv2W9Dt1MvFd5R,0.339,0.214,4,-11.714,1,0.0375,0.908,7.47E-06,0.341,0.363,94.775,206640,3,FALSE,1,91,2012
30,Bad Habits, Ed Sheeran,01-01-2022,3rmo8F54jFF8OgYsqTxm5d,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79E-05,0.366,0.537,126.011,230747,4,FALSE,1,96,2021
31,Smokin Out The Window, Silk Sonic (Bruno Mars & Anderson .Paak),01-01-2022,4iN16F8JtVxG2UTzp3avGl,0.627,0.618,2,-8.529,1,0.0437,0.0558,0,0.351,0.848,82.03,197443,4,FALSE,1,89,2021
32,Jingle Bells, Frank Sinatra,01-01-2022,4HEOgBHRCExyYVeTyrXsnL,0.512,0.339,8,-13.119,1,0.0498,0.727,0,0.0977,0.951,174.609,120693,4,FALSE,1,81,1957
33,"You're A Mean One, Mr. Grinch", Thurl Ravenscroft,01-01-2022,4qP2V09IpTct5A1ZSnr1zh,0.517,0.484,2,-10.93,0,0.318,0.952,0.0075,0.129,0.42,141.914,315707,3,FALSE,1,78,1966
34,Santa Baby, Eartha Kitt With Henri Rene And His Orchestra,01-01-2022,1foCxQtxBweJtZmdxhEHVO,0.7,0.139,8,-12.346,1,0.0607,0.902,0,0.185,0.49,84.485,206067,4,FALSE,1,78,2002
35,Wonderful Christmastime, Paul McCartney,01-01-2022,1SV1fxF65n9NhRHp3KlBuu,0.774,0.511,11,-8.914,1,0.0319,0.322,0,0.0672,0.771,94.736,227653,4,FALSE,1,90,1980
36,Linus & Lucy, Vince Guaraldi Trio,01-01-2022,0NpcbXU7I9GPnUUsHtvGxO,0.413,0.461,1,-12.175,1,0.0341,0.709,0.917,0.142,0.661,81.055,185067,4,FALSE,1,20,2019
37,Good 4 U, Olivia Rodrigo,01-01-2022,4ZtFanR9U6ndgddUvNcjcG,0.563,0.664,9,-5.044,1,0.154,0.335,0,0.0849,0.688,166.928,178147,4,TRUE,1,95,2021
38,Ghost, Justin Bieber,01-01-2022,6I3mqTwhRpn34SLVafSH7G,0.601,0.741,2,-5.569,1,0.0478,0.185,2.91E-05,0.415,0.441,153.96,153190,4,FALSE,1,90,2021
39,Please Come Home For Christmas, Eagles,01-01-2022,3QIoEi8Enr9uHffwInGIsC,0.612,0.289,9,-11.568,1,0.0421,0.599,0.00266,0.0561,0.466,183.18,177440,3,FALSE,1,83,1994
40,Santa Claus Is Comin' To Town, Jackson 5,01-01-2022,2QpN1ZVw8eJO5f7WcvUA1k,0.692,0.762,0,-4.867,1,0.0342,0.424,1.27E-05,0.181,0.961,146.673,144013,4,FALSE,1,86,1970
41,I Hate U, SZA,01-01-2022,5dXWFMwD7I7zXsInONVl0H,0.535,0.388,7,-9.805,0,0.155,0.507,0,0.11,0.412,106.703,174000,5,TRUE,1,92,2021
42,Little Saint Nick, The Beach Boys,01-01-2022,5xlS0QkVrSH7ssEbBgBzbM,0.602,0.553,11,-9.336,1,0.0328,0.108,0,0.0512,0.971,130.594,118840,4,FALSE,1,83,1964
43,Mistletoe, Justin Bieber,01-01-2022,7xapw9Oy21WpfEcib2ErSA,0.657,0.56,6,-9.049,0,0.0467,0.498,0,0.0794,0.854,161.993,182947,4,FALSE,1,90,2011
44,Fancy Like, Walker Hayes,01-01-2022,3ZozFqJJlDBNIm4xqxn2ZD,0.649,0.76,1,-6.487,1,0.0574,0.114,0,0.317,0.843,80.018,161853,4,FALSE,1,83,2021
45,Deck The Halls, Nat King Cole,01-01-2022,0rHToGels2lt8Y0mCYoF90,0.684,0.437,9,-10.522,1,0.0491,0.742,1.58E-05,0.224,0.964,107.607,68760,4,FALSE,1,78,1962
46,Have Yourself A Merry Little Christmas, Michael Buble,01-01-2022,37UhuyGwWHgS1dhTePiJBy,0.275,0.276,9,-11.395,1,0.0321,0.602,0.00167,0.121,0.195,68.764,230307,3,FALSE,1,75,2012
47,Christmastime Is Here, Vince Guaraldi Trio,01-01-2022,6NQchnlpozM5o4n6WfDznd,0.336,0.17,5,-17.225,1,0.0327,0.957,0.661,0.0929,0.102,140.481,369707,3,FALSE,1,40,2008
48,Thats What I Want, Lil Nas X,01-01-2022,0e8nrvls4Qqv5Rfa2UhqmO,0.737,0.846,1,-4.51,0,0.22,0.00614,0,0.0486,0.546,87.981,143901,4,TRUE,1,94,2021
49,One Right Now, Post Malone & The Weeknd,01-01-2022,00Blm7zeNqgYLPtW6zg8cj,0.687,0.781,1,-4.806,1,0.053,0.0361,0,0.0755,0.688,97.014,193507,4,TRUE,1,93,2021
50,Happier Than Ever, Billie Eilish,01-01-2022,4RVwu0g32PAqgUiJoXsdF8,0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,81.055,298899,3,TRUE,1,93,2021
51,Love Nwantiti (Ah Ah Ah), CKay,01-01-2022,2Xr1dTzJee307rmrkt8c0g,0.727,0.739,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.533,93.005,145800,4,TRUE,1,94,2019
52,Knife Talk, Drake Featuring 21 Savage & Project Pat,01-01-2022,2BcMwX1MPV6ZHP4tUT9uq6,0.849,0.424,5,-9.579,0,0.324,0.0635,0,0.0834,0.153,145.887,242966,4,TRUE,1,90,2021
53,Thinking 'Bout You, Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,01-01-2022,7DhvNzyMM8jJWcfykG3psB,0.403,0.711,8,-4.189,1,0.0569,0.137,0,0.109,0.801,203.803,170560,4,FALSE,1,78,2021
54,Merry Christmas, Ed Sheeran & Elton John,01-01-2022,3bH2Eu9A9ymI4UnGHRmoXg,0.594,0.935,0,-2.018,1,0.0357,0.243,2.36E-06,0.102,0.602,113.99,208547,4,FALSE,1,87,2021
55,Better Days, NEIKED X Mae Muller X Polo G,01-01-2022,6f5ExP43esnvdKPddwKXJH,0.717,0.671,0,-5.077,0,0.0337,0.0018,2.54E-06,0.0921,0.699,110.054,160657,4,FALSE,1,91,2021
56,Oh My God, Adele,01-01-2022,3Kkjo3cT83cw09VJyrLNwX,0.534,0.725,1,-3.906,1,0.046,0.091,0,0.0264,0.55,88.098,225149,4,FALSE,1,93,2021
57,Way 2 Sexy, Drake Featuring Future & Young Thug,01-01-2022,0k1WUmIRnG3xU6fvvDVfRG,0.803,0.597,11,-6.035,0,0.141,0.000619,4.50E-06,0.323,0.331,136.008,257605,4,TRUE,1,89,2021
58,Buy Dirt, Jordan Davis Featuring Luke Bryan,01-01-2022,69AIpwGNLxr4qS1X5ynx60,0.586,0.559,4,-6.725,1,0.05,0.639,0,0.0872,0.437,177.945,167480,4,FALSE,1,82,2021
59,Meet Me At Our Spot, THE ANXIETY: WILLOW & Tyler Cole,01-01-2022,3D7BpZ01kLRcjTGelbu83N,0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000198,0.0851,0.399,94.995,162680,4,TRUE,1,34,2021
60,You Should Probably Leave, Chris Stapleton,01-01-2022,2UikqkwBv7aIvlixeVXHWt,0.602,0.477,9,-8.425,1,0.032,0.268,3.10E-05,0.173,0.552,183.89,213493,4,FALSE,1,77,2020
61,Christmas Tree Farm (Old Timey Version), Taylor Swift,01-01-2022,2mvabkN1i2gLnGAPUVdwek,0.598,0.68,7,-4.505,1,0.0331,0.06,0,0.324,0.437,134.002,228027,4,FALSE,1,81,2019
62,Pick Out A Christmas Tree, Dan + Shay,01-01-2022,2Z0htiPiNK8IiJDYTD51hr,0.655,0.677,6,-4.278,1,0.0326,0.146,0,0.131,0.62,127.041,178387,4,FALSE,1,73,2021
63,Whiskey And Rain, Michael Ray,01-01-2022,1tf4Bfk8JIKryLpWYRvyiI,0.653,0.623,8,-4.56,1,0.0244,0.508,3.32E-06,0.285,0.718,100.021,206507,4,FALSE,1,76,2020
64,Girls Want Girls, Drake Featuring Lil Baby,01-01-2022,37Nqx7iavZpotJSDXZWbJ3,0.767,0.438,7,-8.726,0,0.29,0.181,0,0.142,0.381,86.975,221980,4,TRUE,1,86,2021
65,Sand In My Boots, Morgan Wallen,01-01-2022,0uRrG2jRR5tuifsYIJHEao,0.403,0.537,3,-6.628,1,0.031,0.59,0,0.112,0.414,69.877,202133,4,FALSE,1,79,2021
66,Who Want Smoke??," Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",01-01-2022,4yNoUQkYf1QF8iYlEzNynH,0.739,0.74,5,-5.86,0,0.333,0.0045,0,0.161,0.488,75.575,279853,4,TRUE,1,84,2021
67,All Too Well (Taylor's Version), Taylor Swift,01-01-2022,5enxwA8aAbwZbf5qCHORXi,0.631,0.518,0,-8.771,1,0.0303,0.274,0,0.088,0.205,93.023,613027,4,TRUE,1,94,2021
68,Big Energy, Latto,01-01-2022,6Zu3aw7FfjAF9WA0fA81Oq,0.935,0.807,11,-3.838,0,0.114,0.0514,0,0.349,0.813,106.017,173182,4,TRUE,1,80,2021
69,Enemy, Imagine Dragons X JID,01-01-2022,1r9xUipOqoNwggBpENDsvJ,0.728,0.783,11,-4.424,0,0.266,0.237,0,0.434,0.555,77.011,173381,4,FALSE,1,98,2021
70,Chosen, Blxst & Tyga Featuring Ty Dolla $ign,01-01-2022,1dIWPXMX4kRHj6Dt2DStUQ,0.571,0.767,2,-5.16,1,0.287,0.336,0,0.0809,0.605,93.421,161684,4,TRUE,1,85,2020
71,One Mississippi, Kane Brown,01-01-2022,4FdPnT2cFrpWCmWZd7GXc3,0.471,0.846,0,-5.269,1,0.0389,0.00279,2.86E-06,0.145,0.539,100.089,213719,4,FALSE,1,77,2021
72,Burn, Juice WRLD,01-01-2022,0QwKxajohg1rAMMmv1AWe1,0.354,0.475,1,-9.333,0,0.0425,0.149,0.034,0.21,0.0393,114.975,217222,4,TRUE,1,86,2021
73,Have Mercy, Chloe,01-01-2022,5SixeLvPsYpk7qq9lo5xYg,0.903,0.535,9,-6.434,1,0.0742,0.297,0,0.345,0.508,130.022,148779,4,TRUE,1,82,2021
74,Woman, Doja Cat,01-01-2022,6Uj1ctrBOjOas8xZXGqKk4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,172627,4,TRUE,1,96,2021
75,25 Million, Roddy Ricch,01-01-2022,2lUDBd7JrgAMltcp6dcd7D,0.793,0.481,9,-9.258,1,0.124,0.019,1.09E-06,0.139,0.395,132.202,204626,4,TRUE,1,81,2021
76,By Your Side, Rod Wave,01-01-2022,2AaJeBEq3WLcfFW1y8svDf,0.649,0.508,8,-10.232,1,0.0959,0.0345,3.59E-05,0.0736,0.405,157.975,194051,4,TRUE,1,83,2021
77,Christmas Isn't Canceled (Just You), Kelly Clarkson,01-01-2022,4zHDuDQx8dcWVmVVtyIzRO,0.58,0.789,1,-4.918,0,0.0457,0.0429,0,0.146,0.572,139.901,231549,4,FALSE,1,73,2021
78,For Tonight, Giveon,01-01-2022,61Emqg95O9zo1GNOcyxq4Y,0.442,0.517,9,-7.807,1,0.0548,0.0699,0,0.114,0.2,79.867,193822,4,FALSE,1,84,2021
79,Life Goes On, Oliver Tree,01-01-2022,0eu4C55hL6x29mmeAjytzC,0.7,0.49,0,-5.187,1,0.076,0.186,0,0.117,0.569,79.982,161803,4,FALSE,1,91,2021
80,Til You Can't, Cody Johnson,01-01-2022,4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,1,-4.865,1,0.0436,0.0513,0,0.106,0.46,160.087,224213,4,FALSE,1,77,2021
81,To Be Loved By You, Parker McCollum,01-01-2022,5Ykc3Wr4L4wef5QDdaaxM7,0.473,0.802,10,-4.497,1,0.037,0.00036,0,0.304,0.453,145.983,198324,4,FALSE,1,71,2021
82,My Universe, Coldplay x BTS,01-01-2022,3FeVmId7tL5YN8B7R3imoM,0.588,0.701,9,-6.39,1,0.0402,0.00813,0,0.2,0.443,104.988,228000,4,FALSE,1,94,2021
83,Moved To Miami, Roddy Ricch Featuring Lil Baby,01-01-2022,3rjwafyisDpLdoJ4RecHp6,0.717,0.444,1,-11.126,1,0.18,0.0196,0.000315,0.114,0.116,124.685,222225,4,TRUE,1,77,2021
84,Freedom Was A Highway, Jimmie Allen & Brad Paisley,01-01-2022,3J5jotqUAjU479WhAiNkpU,0.563,0.847,1,-4.493,1,0.0468,0.0891,0,0.121,0.666,96.06,212720,4,FALSE,1,73,2020
85,Wandered To LA., Juice WRLD & Justin Bieber,01-01-2022,5J6rTmMjF9DVIAF8G3M9n4,0.687,0.645,0,-4.761,1,0.04,0.0509,2.96E-06,0.106,0.424,135.083,189728,4,TRUE,1,85,2021
86,Already Dead, Juice WRLD,01-01-2022,2quVkyLSVr5wX2QIhnexUt,0.744,0.495,1,-6.311,1,0.0634,0.0216,0,0.111,0.128,83.51,231221,4,TRUE,1,85,2021
87,Tequila Little Time, Jon Pardi,01-01-2022,15npbUjCgwt2lRvyrJvyxw,0.757,0.705,2,-5.084,1,0.0252,0.0375,5.80E-06,0.114,0.855,104.972,207161,4,FALSE,1,72,2019
88,Scorpio, Moneybagg Yo,01-01-2022,0BFGDkrXAneskCJdudSCro,0.736,0.532,1,-7.151,1,0.265,0.0292,8.86E-06,0.0806,0.273,84.983,165773,4,TRUE,1,75,2021
89,Hibachi, Roddy Ricch Featuring Kodak Black & 21 Savage,01-01-2022,7FCDmAel69bzxRkOxbh2dB,0.681,0.522,5,-8.74,0,0.303,0.0191,0,0.415,0.219,172.946,170413,4,TRUE,1,76,2021
90,Heart On Fire, Eric Church,01-01-2022,0ysCB1Jg4hli0XlEWlipo7,0.653,0.927,8,-4.699,1,0.0289,0.0352,4.47E-05,0.0966,0.894,119.97,258800,4,FALSE,1,72,2021
91,Message In A Bottle (Taylor's Version) (From The Vault), Taylor Swift,01-01-2022,3z6XUommYDWPHeFhmhhT6j,0.622,0.791,7,-6.106,1,0.0535,0.00188,3.72E-06,0.083,0.494,115.915,225960,4,FALSE,1,81,2021
92,Same Boat, Zac Brown Band,01-01-2022,2VmccNZz4zFmlcXstY8a2D,0.509,0.842,6,-5.394,1,0.0512,0.0506,0,0.0856,0.664,171.901,190452,4,FALSE,1,65,2021
93,Thailand, Roddy Ricch,01-01-2022,0qHPxjC83zQYcxe39xSShx,0.875,0.478,7,-10.562,1,0.218,0.00717,0,0.147,0.409,128.99,200959,4,TRUE,1,80,2021
94,Bubbly, Young Thug With Drake & Travis Scott,01-01-2022,4KDNRh9Oor80z3XIxdWlui,0.91,0.585,11,-7.572,0,0.257,0.0536,0,0.127,0.599,129.011,165067,4,TRUE,1,82,2021
95,Do It To It, Acraze Featuring Cherish,01-01-2022,20on25jryn53hWghthWWW3,0.854,0.806,11,-8.262,0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,157890,4,FALSE,1,96,2021
96,No Love, Summer Walker & SZA,01-01-2022,08SB2OtZkaliju77WYEKxk,0.707,0.618,1,-5.825,0,0.19,0.17,0,0.293,0.517,133.876,231498,4,TRUE,1,85,2021
97,Knowing You, Kenny Chesney,01-01-2022,2EEfUuBRZA4Ax1vYcluFS0,0.557,0.565,7,-6.12,1,0.026,0.229,3.90E-06,0.119,0.187,125.956,226267,3,FALSE,1,69,2020
98,Family Ties, Baby Keem & Kendrick Lamar,01-01-2022,7Bpx2vsWfQFBACRz4h3IqH,0.711,0.611,1,-5.453,1,0.329,0.00575,0,0.231,0.144,134.14,252070,4,TRUE,1,85,2021
99,Girl Of My Dreams, Juice WRLD & SUGA,25-12-2021,7DF8lvLdV3htIbuTWpc7lR,0.603,0.771,9,-6.336,1,0.0627,0.194,0,0.13,0.332,139.988,226149,4,TRUE,1,88,2021
100,Essence, Wizkid Featuring Justin Bieber & Tems,25-12-2021,5FG7Tl93LdH117jEKYl3Cm,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58E-06,0.618,0.602,104.027,248040,4,FALSE,1,79,2020
101,You Right, Doja Cat & The Weeknd,25-12-2021,4rmwWGh87KY0ouByBEh1zC,0.837,0.567,8,-6.709,1,0.0649,0.0158,0.00139,0.118,0.502,129.001,246040,4,TRUE,1,71,2021
102,Kiss Me More, Doja Cat Featuring SZA,25-12-2021,748mdHapucXQri7IAO8yFK,0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,110.968,208867,4,TRUE,1,91,2021
103,Feline," Juice WRLD, Polo G & Trippie Redd",25-12-2021,5R4Yrc2j4jw1itr4hKcN26,0.575,0.619,0,-6.663,1,0.322,0.0208,0,0.103,0.296,110.109,212204,5,TRUE,1,83,2021
104,Rockstar In His Prime, Juice WRLD,25-12-2021,0v36cov6Z6aEV5ZgIlqZMk,0.685,0.729,7,-8.694,0,0.15,0.415,0,0.196,0.382,170.025,180750,4,TRUE,1,83,2021
105,You Wouldn't Understand, Juice WRLD,25-12-2021,2W1Aq2c6PUSHBC0golgHLK,0.724,0.748,4,-4.335,0,0.0722,0.0012,0,0.132,0.118,158.04,170792,4,TRUE,1,82,2021
106,Cold As You, Luke Combs,25-12-2021,7IWV29mryrqtO0JVgnPtfv,0.598,0.846,6,-4.956,1,0.0355,0.0527,0,0.113,0.328,144.04,186107,4,FALSE,1,76,2020
107,Doom, Juice WRLD,25-12-2021,38Vh0iUlilcvnBNWS4saSD,0.62,0.495,0,-7.251,1,0.0534,0.016,1.91E-05,0.102,0.122,85.951,217488,4,TRUE,1,81,2021
108,Go Hard, Juice WRLD,25-12-2021,7FAND3cHMvepHjpBp8gOZ9,0.641,0.445,7,-7.94,0,0.12,0.625,7.80E-06,0.119,0.0534,145.302,134689,4,TRUE,1,80,2021
109,Not Enough, Juice WRLD,25-12-2021,59NTlSZN6G2eCs4jcf46C0,0.693,0.715,7,-6.108,1,0.049,0.00369,2.86E-06,0.205,0.323,90.006,171830,4,TRUE,1,81,2021
110,Man In The Mirror, A Boogie Wit da Hoodie,25-12-2021,7uLFOXgLrS90tEYPO1DGXy,0.849,0.631,3,-4.241,0,0.0637,0.171,0,0.149,0.55,135.997,215304,4,TRUE,1,82,2021
111,From My Window, Juice WRLD,25-12-2021,6U0vwOILZNn5O6w1IZ1Mzr,0.702,0.514,4,-6.674,0,0.0432,0.129,0,0.104,0.133,76.982,187212,4,TRUE,1,80,2021
112,Relocate, Juice WRLD,25-12-2021,1AtC4WzAiT2RoDEkGknqMT,0.706,0.59,10,-6.403,1,0.0619,0.114,0,0.128,0.462,82.973,208188,4,TRUE,1,79,2021
113,Bad Man (Smooth Criminal), Polo G,25-12-2021,6RfhBNU1FPWTG7VESlfgOl,0.882,0.662,0,-6.382,1,0.242,0.0124,0,0.106,0.57,120.034,106000,4,TRUE,1,83,2021
114,Feel Alone, Juice WRLD,25-12-2021,2hA6oxAuJI94AydLWQ2qEU,0.619,0.622,6,-5.874,0,0.0461,0.0935,0,0.226,0.194,150.062,230094,4,TRUE,1,78,2021
115,Save Your Tears, The Weeknd & Ariana Grande,18-12-2021,5QO79kh1waicV47BqGRL3g,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24E-05,0.543,0.644,118.051,215627,4,TRUE,1,90,2020
116,Beggin, Maneskin,18-12-2021,3Wrjm47oTz2sjIgck11l5e,0.714,0.8,11,-4.808,0,0.0504,0.127,0,0.359,0.589,134.002,211560,4,FALSE,1,94,2017
117,If I Didn't Love You, Jason Aldean & Carrie Underwood,18-12-2021,5f3MXmTmstozFg0BH1yPUk,0.456,0.679,1,-4.802,1,0.0324,0.176,0,0.103,0.483,184.075,212030,4,FALSE,1,75,2021
118,Pepas, Farruko,18-12-2021,5fwSHlTEWpluwOM0Sxnh5k,0.762,0.766,7,-3.955,1,0.0343,0.00776,6.98E-05,0.128,0.442,130.001,287120,4,TRUE,1,95,2021
119,Don't Play, Polo G Featuring Lil Baby,18-12-2021,2QIBJFl8DJR1mDh9GwfZef,0.684,0.624,2,-7.414,0,0.347,0.239,0,0.112,0.708,146.925,156735,4,TRUE,1,80,2021
120,Gyalis, Capella Grey,18-12-2021,7wpyrkjEgz7W1vNYDxMKrF,0.666,0.643,8,-7.01,1,0.423,0.386,0,0.283,0.756,96.375,105377,4,TRUE,1,75,2021
121,Too Easy, Gunna & Future,18-12-2021,6DmhZu3SFOPOf4PkngL6TE,0.779,0.601,5,-6.474,0,0.118,0.0133,0,0.126,0.248,156.019,197093,4,TRUE,1,76,2021
122,Sharing Locations, Meek Mill Featuring Lil Baby & Lil Durk,18-12-2021,3J4VKkUpLvomXJbn9ZAypO,0.681,0.63,1,-5.585,1,0.0385,0.00383,0,0.139,0.183,151.951,161053,4,TRUE,1,79,2021
123,Me Or Sum," Nardo Wick, Lil Baby & Future",18-12-2021,1qlh1WxuWilyIWRwdsKMuJ,0.532,0.572,1,-6.794,1,0.421,0.00984,0,0.143,0.369,160.517,225664,4,TRUE,1,75,2021
124,Young N Dumb, Polo G,18-12-2021,4dZTNKRngStyYNueXCO2FR,0.465,0.729,3,-6.93,0,0.237,0.0072,0,0.139,0.606,95.001,172394,5,TRUE,1,77,2021
